supplier,region,dispatched_MT,offtake_MT,purchased_MT,prev_dispatched_MT,share_pct,growth_pct,opportunity_score,untapped_MT
New Natural Coco,Pollachi,188.0,0.0,0.0,434.0,0.0,-56.68,10.6,188.0
Krishna Fiber,Salem,50.0,0.0,0.0,46.0,0.0,8.7,10.5,50.0
Sangam Coir,Kangeyam,175.0,0.0,0.0,553.0,0.0,-68.35,10.2,175.0
Sai Coco,Salem,50.0,0.0,0.0,48.0,0.0,4.17,10.1,50.0
Rajathi Coir,Pollachi,74.0,0.0,0.0,89.0,0.0,-16.85,10.1,74.0
AB Coir,Kangeyam,144.0,23.0,23.45,216.0,15.97,-33.33,10.0,121.0
Sri Sivam Coco,Kangeyam,115.0,40.0,0.0,0.0,34.78,,10.0,75.0
Sri Lakshmi Coirs,Pollachi,319.0,95.0,97.66,830.0,29.78,-61.57,9.9,224.0
Horpiflora Pith,Madurai,255.0,86.0,133.18,420.0,33.73,-39.29,9.9,169.0
Sangamam Coirs,Salem,50.0,0.0,0.0,0.0,0.0,,9.7,50.0
Unique Coirs - Prabu Coir,Salem,50.0,0.0,0.0,0.0,0.0,,9.7,50.0
Sri Vinayaka Fibres,Madurai,161.0,0.0,0.0,431.0,0.0,-62.65,9.6,161.0
Aiswarya Coir,Pollachi,96.0,0.0,0.0,143.0,0.0,-32.87,9.6,96.0
Kamatchiyaamman Coir,Kangeyam,115.0,45.0,0.0,0.0,39.13,,9.4,70.0
Mariya Coir Products,Salem,48.0,0.0,0.0,44.0,0.0,9.09,9.3,48.0
Sumathi Coir Industry,Salem,99.0,0.0,0.0,154.0,0.0,-35.71,9.3,99.0
Om Sakthi Fiber,Pollachi,581.0,456.0,0.0,486.0,78.49,19.55,9.3,125.0
Mahalakshmi Fiber,Kangeyam,148.0,0.0,0.0,314.0,0.0,-52.87,9.2,148.0
M M Coirs,Madurai,132.0,24.0,0.0,199.0,18.18,-33.67,9.1,108.0
PRS Coco Pith,Salem,74.0,0.0,0.0,99.0,0.0,-25.25,9.0,74.0
Palaniyandavar Coirs,Kangeyam,178.0,70.0,0.0,253.0,39.33,-29.64,8.8,108.0
Eligro Substrate Pvt Ltd,Madurai,135.0,66.0,67.12,0.0,48.89,,8.7,69.0
Abi Coir,Pollachi,139.0,0.0,0.0,602.0,0.0,-76.91,8.7,139.0
Sivasakthi Fibre Products Export,Pollachi,535.0,320.0,0.0,900.0,59.81,-40.56,8.5,215.0
AAA Coir,Peravurani,74.0,0.0,0.0,105.0,0.0,-29.52,8.5,74.0
Deva Coir,Kangeyam,125.0,60.0,0.0,0.0,48.0,,8.4,65.0
Sri Sri Fibre,Pollachi,153.0,16.0,16.38,323.0,10.46,-52.63,8.4,137.0
Shri Venkateswara Coirs,Madurai,72.0,8.0,0.0,90.0,11.11,-20.0,8.2,64.0
Sri Murugan Thunai Fibres,Pollachi,74.0,24.0,24.11,0.0,32.43,,8.2,50.0
SS Coir / Shars Green Enterprises,Kangeyam,125.0,0.0,0.0,367.0,0.0,-65.94,8.1,125.0
Corootz,Pollachi,123.0,0.0,0.0,399.0,0.0,-69.17,8.0,123.0
Cloud Eco Products ltd,Kangeyam,119.0,0.0,0.0,318.0,0.0,-62.58,7.8,119.0
Sri Pathi Coir Industries,Madurai,29.0,0.0,0.0,23.0,0.0,26.09,7.7,29.0
RBS Fiber,Kangeyam,50.0,0.0,0.0,64.0,0.0,-21.88,7.5,50.0
Parven Coirs,Pollachi,40.0,0.0,0.0,0.0,0.0,,7.4,40.0
Laxmi Coir Industries,Madurai,74.0,0.0,0.0,122.0,0.0,-39.34,7.3,74.0
AVM Hydro Farming Products,Pollachi,170.0,46.0,46.92,586.0,27.06,-70.99,7.2,124.0
Coco Craft,Salem,95.0,47.0,0.0,0.0,49.47,,7.2,48.0
Sun Fibre Products,Pollachi,316.0,251.0,222.53,262.0,79.43,20.61,6.9,65.0
Sri Annamar Fibres,Kangeyam,635.0,535.0,559.48,549.0,84.25,15.66,6.8,100.0
Rayar Fibres,Pollachi,88.0,0.0,0.0,294.0,0.0,-70.07,6.8,88.0
Sri Raghavendra Fibre,Pollachi,121.0,22.0,0.0,269.0,18.18,-55.02,6.5,99.0
Venkatajalapathi Fibers,Pollachi,75.0,0.0,0.0,275.0,0.0,-72.73,6.4,75.0
KPN Coir Industries,Pollachi,75.0,0.0,0.0,370.0,0.0,-79.73,6.4,75.0
Vortex Bio Fuel -Selliyamman Coconut Product,Kangeyam,113.0,19.0,0.0,270.0,16.81,-58.15,6.3,94.0
Vinayaga Fibers,Pollachi,134.0,63.0,48.91,190.0,47.01,-29.47,6.3,71.0
Udhayam Coir & Fiber,Peravurani,24.0,0.0,0.0,13.0,0.0,84.62,6.1,24.0
AKS Coirs (Vivek),Salem,74.0,0.0,0.0,481.0,0.0,-84.62,6.0,74.0
Mahalakshmi Fiber,Salem,74.0,0.0,0.0,314.0,0.0,-76.43,6.0,74.0
Sai Coco (Ten Star Leesed),Pollachi,142.0,93.0,0.0,0.0,65.49,,6.0,49.0
Nagajothi Fibres,Pollachi,25.0,0.0,0.0,20.0,0.0,25.0,5.9,25.0
MAHA SHANKAR FIBERS,Madurai,129.0,95.0,94.73,98.0,73.64,31.63,5.7,34.0
Thampy Industriess,Pollachi,70.0,0.0,0.0,465.0,0.0,-84.95,5.7,70.0
Siva Fiber Products,Pollachi,25.0,0.0,0.0,21.0,0.0,19.05,5.6,25.0
Thraviyam Coco Products,Madurai,69.0,0.0,0.0,142.0,0.0,-51.41,5.6,69.0
N K S Fibers,Madurai,27.0,0.0,0.0,28.0,0.0,-3.57,5.6,27.0
Aarudra Coco Products,Madurai,208.0,162.0,180.67,187.0,77.88,11.23,5.5,46.0
