supplier,region,dispatched_MT,offtake_MT,purchased_MT,prev_dispatched_MT,share_pct,growth_pct,opportunity_score,untapped_MT
Ever Shine Pith Bricks,Pollachi,66.0,0.0,0.0,182.0,0.0,-63.74,5.5,66.0
Dhanalakshmi Coir,Pollachi,236.0,131.0,0.0,486.0,55.51,-51.44,5.4,105.0
Rani Coir,Kangeyam,60.0,0.0,0.0,371.0,0.0,-83.83,5.4,60.0
VGV Traders,Madurai,57.0,0.0,0.0,131.0,0.0,-56.49,5.3,57.0
Sujaatha Exim,Madurai,54.0,0.0,0.0,207.0,0.0,-73.91,5.3,54.0
KG Coir Products,Pollachi,57.0,0.0,92.91,410.0,0.0,-86.1,5.3,57.0
Ragavandra Fibers,Pollachi,698.0,593.0,0.0,775.0,84.96,-9.94,5.2,105.0
Velavan Coir,Pollachi,170.0,145.0,0.0,97.0,85.29,75.26,5.1,25.0
Veerakumara Coir,Pollachi,100.0,50.0,47.87,144.0,50.0,-30.56,5.1,50.0
SS FIBERS & COIRS,Madurai,137.0,117.0,116.78,21.0,85.4,552.38,5.0,20.0
Sri Murugan Coir Pith Blocks,Kangeyam,50.0,0.0,176.64,127.0,0.0,-60.63,4.8,50.0
Om Anugragha,Pollachi,50.0,0.0,0.0,153.0,0.0,-67.32,4.8,50.0
Natural Coco Products,Salem,50.0,0.0,0.0,261.0,0.0,-80.84,4.8,50.0
Green Coco Galuxy,Pollachi,50.0,0.0,0.0,333.0,0.0,-84.98,4.8,50.0
Sri Kumaran Coir Industry,Salem,25.0,0.0,0.0,0.0,0.0,,4.7,25.0
Vasantha Fibers,Pollachi,25.0,0.0,0.0,0.0,0.0,,4.7,25.0
Prabu Coir,Salem,25.0,0.0,0.0,0.0,0.0,,4.7,25.0
Sugam Coir,Kangeyam,25.0,0.0,0.0,0.0,0.0,,4.7,25.0
Niveepree Coir,Kangeyam,25.0,0.0,0.0,0.0,0.0,,4.7,25.0
Sai Balaji Coir,Kangeyam,286.0,236.0,0.0,0.0,82.52,,4.6,50.0
Ayangaran Coirs,Madurai,120.0,51.0,89.44,292.0,42.5,-58.9,4.5,69.0
Surya Coir,Kangeyam,193.0,157.0,150.93,171.0,81.35,12.87,4.5,36.0
Ganapathy Coir,Pollachi,49.0,0.0,393.37,515.0,0.0,-90.49,4.4,49.0
TSM Nature Grow,Salem,49.0,24.0,0.0,50.0,48.98,-2.0,4.4,25.0
Arulperumjothi Fibers,Kangeyam,49.0,0.0,0.0,251.0,0.0,-80.48,4.4,49.0
Sri Ponbala Coir,Kangeyam,48.0,0.0,0.0,243.0,0.0,-80.25,4.3,48.0
Bhama Coir,Madurai,52.0,18.0,0.0,82.0,34.62,-36.59,4.3,34.0
Jairithanya Coir,Pollachi,385.0,336.0,0.0,355.0,87.27,8.45,4.2,49.0
Abirami Fibres,Peravurani,69.0,19.0,0.0,174.0,27.54,-60.34,4.1,50.0
AKS FIBER,Madurai,46.0,0.0,0.0,152.0,0.0,-69.74,4.1,46.0
Nathan Industries,Peravurani,36.0,0.0,0.0,61.0,0.0,-40.98,4.1,36.0
AYYANAR COIR PRODUCT,Pollachi,50.0,8.0,7.98,126.0,16.0,-60.32,4.1,42.0
VSM Coir,Kangeyam,24.0,0.0,0.0,20.0,0.0,20.0,4.0,24.0
ATR Coirs (HEC),Madurai,45.0,0.0,0.0,335.0,0.0,-86.57,4.0,45.0
Nagajothi Fibre,Pollachi,45.0,0.0,0.0,143.0,0.0,-68.53,4.0,45.0
Krishtha Fibres,Kangeyam,45.0,0.0,0.0,165.0,0.0,-72.73,4.0,45.0
Kaaruniya Coir Industries,Madurai,51.0,31.0,38.02,0.0,60.78,,4.0,20.0
A P Fibers,Madurai,42.0,0.0,0.0,136.0,0.0,-69.12,3.8,42.0
Grow Green Coir,Kangeyam,44.0,0.0,0.0,88.0,0.0,-50.0,3.8,44.0
PK Coco Peat,Kangeyam,44.0,0.0,46.43,355.0,0.0,-87.61,3.8,44.0
Sowabarnicka Fibers,Peravurani,40.0,0.0,0.0,379.0,0.0,-89.45,3.7,40.0
SR fibre,Kangeyam,46.0,26.0,0.0,0.0,56.52,,3.6,20.0
Logesh Fibre Product,Pollachi,39.0,0.0,0.0,622.0,0.0,-93.73,3.6,39.0
Sri Ponkalaiamman Fibers,Salem,826.0,752.0,816.35,830.0,91.04,-0.48,3.6,74.0
TGT Coir Export,Pollachi,36.0,24.0,0.0,24.0,66.67,50.0,3.4,12.0
Shine Coir,Madurai,36.0,0.0,0.0,137.0,0.0,-73.72,3.4,36.0
Shasti Coir,Madurai,135.0,81.0,80.1,319.0,60.0,-57.68,3.4,54.0
Vinayaga Coirs,Pollachi,35.0,0.0,0.0,383.0,0.0,-90.86,3.3,35.0
Ammasi Coir (Yahlini Fibers),Salem,24.0,0.0,0.0,0.0,0.0,,3.3,24.0
AL-Matin Coir Exports,Madurai,80.0,60.0,60.08,0.0,75.0,,3.3,20.0
Thirupathi Coir,Peravurani,35.0,0.0,0.0,85.0,0.0,-58.82,3.3,35.0
J&D Pith Blocks,Pollachi,35.0,0.0,0.0,102.0,0.0,-65.69,3.3,35.0
Natural Fiber,Kangeyam,24.0,0.0,0.0,0.0,0.0,,3.3,24.0
Thirumalai Fibers,Peravurani,34.0,0.0,0.0,96.0,0.0,-64.58,3.2,34.0
Sai Marketing,Madurai,33.0,0.0,0.0,129.0,0.0,-74.42,3.2,33.0
Sun Fiber,Madurai,32.0,0.0,0.0,263.0,0.0,-87.83,3.1,32.0
Arulperumjothi Coir,Madurai,28.0,0.0,0.0,227.0,0.0,-87.67,3.0,28.0
AP Agro,Pollachi,396.0,336.0,0.0,604.0,84.85,-34.44,3.0,60.0
Veera Coir,Madurai,360.0,324.0,356.82,380.0,90.0,-5.26,2.8,36.0
SUGHAVESH NATURAL FIBRE,Salem,22.0,0.0,0.0,0.0,0.0,,2.7,22.0
Barani Fibers,Kangeyam,422.0,383.0,0.0,503.0,90.76,-16.1,2.5,39.0
Ayyanar Coir,Madurai,22.0,0.0,0.0,24.0,0.0,-8.33,2.5,22.0
Vivo AG Tech Products,Pollachi,25.0,0.0,0.0,125.0,0.0,-80.0,2.3,25.0
Harshitha Coir,Kangeyam,25.0,0.0,0.0,198.0,0.0,-87.37,2.3,25.0
A J Coir,Pollachi,25.0,0.0,0.0,100.0,0.0,-75.0,2.3,25.0
JJ Coir,Pollachi,25.0,0.0,0.0,97.0,0.0,-74.23,2.3,25.0
Amman Coir,Madurai,187.0,147.0,0.0,1911.0,78.61,-90.21,2.3,40.0
Kaveri Fibres,Pollachi,25.0,0.0,0.0,120.0,0.0,-79.17,2.3,25.0
Eswari Coir,Pollachi,25.0,0.0,69.67,599.0,0.0,-95.83,2.3,25.0
SST Coir,Pollachi,25.0,0.0,0.0,67.0,0.0,-62.69,2.3,25.0
Kannamal Fibre,Pollachi,25.0,0.0,0.0,167.0,0.0,-85.03,2.3,25.0
Smartsports Coir,Kangeyam,25.0,0.0,0.0,112.0,0.0,-77.68,2.3,25.0
Janani Coir,Pollachi,25.0,0.0,0.0,120.0,0.0,-79.17,2.3,25.0
Amman Coir,Pollachi,25.0,0.0,0.0,1911.0,0.0,-98.69,2.3,25.0
Venus Coir,Kangeyam,25.0,0.0,0.0,767.0,0.0,-96.74,2.3,25.0
Sri Hydroponic,Pollachi,25.0,0.0,0.0,64.0,0.0,-60.94,2.3,25.0
Guna Coir,Salem,25.0,0.0,0.0,210.0,0.0,-88.1,2.3,25.0
Ganesh Coirs,Kangeyam,167.0,147.0,0.0,195.0,88.02,-14.36,2.0,20.0
R K Eco Coir,Madurai,20.0,0.0,0.0,0.0,0.0,,2.0,20.0
RM Coconut Marchent,Madurai,401.0,376.0,383.9,454.0,93.77,-11.67,1.7,25.0
TSM Natures Grow,Salem,24.0,0.0,0.0,50.0,0.0,-52.0,1.6,24.0
Swami Coirs,Pollachi,37.0,22.0,21.79,264.0,59.46,-85.98,1.4,15.0
Bhakiyam Fibers,Madurai,412.0,390.0,0.0,476.0,94.66,-13.45,1.4,22.0
Jesus Coir Agro,Madurai,16.0,0.0,0.0,0.0,0.0,,1.1,16.0
M I Coirs,Madurai,78.0,69.0,0.0,115.0,88.46,-32.17,1.0,9.0
Karuppusamy Coir Industries,Madurai,20.0,0.0,0.0,147.0,0.0,-86.39,1.0,20.0
Aaliyar Fibre,Pollachi,20.0,0.0,0.0,421.0,0.0,-95.25,1.0,20.0
Standard Agro Tech,Pollachi,20.0,0.0,0.0,75.0,0.0,-73.33,1.0,20.0
MMS Coir,Madurai,20.0,0.0,0.0,252.0,0.0,-92.06,1.0,20.0
Vinayaga Coirs,Salem,20.0,0.0,0.0,383.0,0.0,-94.78,1.0,20.0
RM Lakshmi Coir,Peravurani,20.0,0.0,0.0,50.0,0.0,-60.0,1.0,20.0
Everest Fiber,Peravurani,20.0,0.0,0.0,53.0,0.0,-62.26,1.0,20.0
PKS Coir,Pollachi,20.0,0.0,0.0,210.0,0.0,-90.48,1.0,20.0
Udyam Coirs,Kangeyam,20.0,0.0,0.0,43.0,0.0,-53.49,1.0,20.0
Visnu Fibers,Pollachi,18.0,0.0,0.0,185.0,0.0,-90.27,0.7,18.0
TGS Coir,Madurai,16.0,0.0,0.0,214.0,0.0,-92.52,0.5,16.0
Karuppusamy Coir,Madurai,16.0,0.0,0.0,111.0,0.0,-85.59,0.5,16.0
AVM Fibers/Balathandaithapani Traders,Peravurani,13.0,0.0,0.0,20.0,0.0,-35.0,0.5,13.0
RR Coir Industries,Peravurani,12.0,0.0,0.0,49.0,0.0,-75.51,0.3,12.0
Nivetha Coir Products,Madurai,12.0,0.0,0.0,670.0,0.0,-98.21,0.3,12.0
KCK Coirs,Madurai,8.0,0.0,0.0,0.0,0.0,,0.3,8.0
Annai Fibers,Madurai,10.0,0.0,0.0,69.0,0.0,-85.51,0.2,10.0
Sabari Coir,Madurai,8.0,0.0,0.0,355.0,0.0,-97.75,0.1,8.0
Sri Ayyanar Coco Pith Products,Madurai,8.0,0.0,0.0,68.0,0.0,-88.24,0.1,8.0
Bannariyamman Fibres,Kangeyam,25.0,25.0,0.0,0.0,100.0,,0.0,0.0
Aakavi Coir,Kangeyam,339.0,339.0,351.94,233.0,100.0,45.49,0.0,0.0
Vengadeswara Coir,Pollachi,23.0,23.0,0.0,86.0,100.0,-73.26,0.0,0.0
Sri Arulmurugan Fibres,Kangeyam,45.0,45.0,0.0,139.0,100.0,-67.63,0.0,0.0
Sri Ram Fibres,Pollachi,443.0,443.0,0.0,622.0,100.0,-28.78,0.0,0.0
Sri Shakthi Coirs,Madurai,15.0,15.0,0.0,494.0,100.0,-96.96,0.0,0.0
Kalpathur Substrate,Pollachi,75.0,75.0,0.0,0.0,100.0,,0.0,0.0
Krishi Horti Pro,Pollachi,17.0,17.0,16.85,0.0,100.0,,0.0,0.0
Sri Murugan Coir Pith Blocks,Pollachi,47.0,47.0,0.0,127.0,100.0,-62.99,0.0,0.0
K M Fibers/ K M L Fiber,Madurai,29.0,29.0,0.0,289.0,100.0,-89.97,0.0,0.0
Sri Devi Coir,Pollachi,106.0,106.0,0.0,0.0,100.0,,0.0,0.0
Jayam Fibre,Kangeyam,95.0,95.0,0.0,0.0,100.0,,0.0,0.0
Jayam Coir,Kangeyam,74.0,74.0,210.95,0.0,100.0,,0.0,0.0
Saravana Coir,Kangeyam,24.0,24.0,0.0,72.0,100.0,-66.67,0.0,0.0
Jaya Coco Pith,Madurai,7.0,0.0,0.0,69.0,0.0,-89.86,0.0,7.0
JPM Coirs,Madurai,286.0,286.0,335.0,382.0,100.0,-25.13,0.0,0.0
Pachiyammal Coco product,Salem,25.0,25.0,0.0,0.0,100.0,,0.0,0.0
Uthis Coir,Pollachi,22.0,22.0,0.0,23.0,100.0,-4.35,0.0,0.0
Hyther Ali Coconut Merchant,Madurai,143.0,143.0,142.28,141.0,100.0,1.42,0.0,0.0
VSK coir Product,Pollachi,20.0,20.0,0.0,20.0,100.0,0.0,0.0,0.0
VV Coir,Pollachi,22.0,22.0,0.0,116.0,100.0,-81.03,0.0,0.0
Gogulkrishna coir Export,Pollachi,386.0,386.0,898.56,0.0,100.0,,0.0,0.0
Thuran Coir Mills,Pollachi,17.0,17.0,0.0,169.0,100.0,-89.94,0.0,0.0
