region,fiscal_year,fiscal_quarter,rain_mm,monsoon_idx
Pollachi,2026,FQ4,44.6,0.168492633169626
Pollachi,2027,FQ1,168.20000000000002,0.6354363430298452
Pollachi,2027,FQ2,2.4,0.009066868152625614
Salem,2021,FQ1,187.4,0.6976118206288299
Salem,2021,FQ2,486.6,1.8114082813126395
Salem,2021,FQ3,389.3,1.449201076685184
Salem,2021,FQ4,43.5,0.16193230628257257
Salem,2022,FQ1,189.4,0.7050569841360746
Salem,2022,FQ2,341.1,1.2697726361605863
Salem,2022,FQ3,609.8,2.270030353358914
Salem,2022,FQ4,11.6,0.04318194834201935
Salem,2023,FQ1,324.9,1.209466811751904
Salem,2023,FQ2,483.1,1.7983792451749612
Salem,2023,FQ3,489.7,1.8229482847488687
Salem,2023,FQ4,79.4,0.29557299123761527
Salem,2024,FQ1,212.4,0.7906763644693888
Salem,2024,FQ2,345.7,1.286896512227249
Salem,2024,FQ3,285.7,1.0635416070099077
Salem,2024,FQ4,49.699999999999996,0.18501231315503117
Salem,2025,FQ1,382.20000000000005,1.4227707462344654
Salem,2025,FQ2,365.3,1.3598591145982475
Salem,2025,FQ3,524.8,1.9536109043010133
Salem,2025,FQ4,45.7,0.17012198614054178
Salem,2026,FQ1,239.9,0.8930473626940038
Salem,2026,FQ2,454.6,1.692285665196724
Salem,2026,FQ3,227.0,0.8450260580722753
Salem,2026,FQ4,35.900000000000006,0.13364068495504267
Salem,2027,FQ1,177.1,0.6592692285665196
Salem,2027,FQ2,2.6,0.00967871255941813
